type,stem_percent,num_schools,avg_early_pay,avg_mid_pay,avg_pay_growth,avg_tuition
Private,85,1,88800,158200,69400,56876
Private,97,1,84100,151600,67500,52362
Private,51,1,79000,145200,66200,51354
Private,100,1,80800,141800,61000,50175
Private,79,1,75100,139900,64800,52202
Public,93,1,75600,139600,64000,38584
Private,69,2,76000,136400,60400,46290.5
Private,66,1,75900,136100,60200,55465
Private,96,1,75000,135800,60800,49871
Private,86,1,73600,135500,61900,50530
